STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,METRO_ID,Metropolitan areas,VAR,Variables,TIME_PERIOD,Year,OBS_VALUE,Observation Value,OBS_STATUS,Observation Status,UNIT_MEASURE,Unit of Measures,UNIT_MULT,Multiplier,BASE_PER,Base reference period
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,CAN15,Saskatoon,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,51310,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN38,Fujieda,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,43148,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA79,Pulaski,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,53351,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX33,Irapuato,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,16395,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA154,Merced,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,31158,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,ES007,Murcia,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,30123,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA51,Tulsa,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,49708,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN32,Fukui,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38992,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA48,Jefferson (AL),GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,53343,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT029,Brescia,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,43012,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,ES003,Valencia,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,31851,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,NL503,s-Hertogenbosch,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,49566,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,IT511,Bergamo,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,42677,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,JPN50,Hitachi,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,42035,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,KOR06,Seongsan,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,37545,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,DE018,Halle an der Saale,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,38997,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,MEX40,Mazatlan,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,17354,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,UK506,Doncaster,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,28179,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,HU004,Pecs,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,17816,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,ES025,Santa Cruz de Tenerife,GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,30584,,A,,USD,US Dollar,0,Units,,
DATAFLOW,OECD:DF_CITIES(1.0),Metropolitan areas,I,USA04,Washington (Greater),GDP_PC_REAL_PPP,"GDP per capita (USD, constant prices, constant PPP, base year 2015)",2016,,77636,,A,,USD,US Dollar,0,Units,,
